196.6831,196.0414,191.8406,187.8020,185.9200,188.3428,192.2685,195.6064,197.4326,198.4550,199.2768,199.9037,200.3435,200.6039,200.6900
200.6614,196.2684,191.8302,187.6645,185.6455,188.2469,192.3059,195.7028,197.5479,198.5702,199.3887,200.0110,200.4465,200.7039,200.7889
200.9246,196.5012,191.7851,187.2531,184.7816,187.9651,192.4279,195.9971,197.8994,198.9192,199.7259,200.3328,200.7540,201.0016,201.0832
201.3559,196.7713,191.7165,186.5790,183.1964,187.5202,192.6638,196.5041,198.5042,199.5129,200.2926,200.8676,201.2609,201.4898,201.5649
201.9448,197.1013,191.6584,185.6810,180.6283,186.9706,193.0660,197.2457,199.3935,200.3696,201.0940,201.6111,201.9565,202.1545,202.2191
202.6740,197.5078,191.6686,184.6650,176.6067,186.4526,193.7125,198.2466,200.6190,201.5151,202.1335,202.5518,202.8213,202.9725,203.0214
203.5193,198.0002,191.8272,183.7836,170.3015,186.2644,194.7067,199.5231,202.2681,202.9796,203.4028,203.6631,203.8217,203.9082,203.9357
204.4527,198.5759,192.2244,183.5959,160.2405,187.0355,196.1633,201.0639,204.5009,204.7750,204.8592,204.8911,204.9051,204.9114,204.9133
205.3926,199.2049,192.8769,185.0591,172.0579,288.0000,288.0000,288.0000,207.5425,206.7619,206.3685,206.1371,205.9963,205.9192,205.8945
206.2706,199.8476,193.6749,187.0286,180.1441,288.0000,288.0000,288.0000,209.4751,208.4084,207.7356,207.3033,207.0316,206.8808,206.8324
207.0683,200.4658,194.5191,189.0213,185.7770,288.0000,288.0000,288.0000,210.8611,209.7086,208.8914,208.3282,207.9606,207.7525,207.6851
207.7433,201.0200,195.3195,190.7939,189.7255,288.0000,288.0000,288.0000,211.8940,210.7143,209.8238,209.1814,208.7494,208.5006,208.4194
208.2525,201.4742,196.0052,192.2289,192.4551,288.0000,288.0000,288.0000,212.6538,211.4658,210.5381,209.8496,209.3770,209.1014,209.0109
208.5419,201.8006,196.5256,193.2730,194.2467,288.0000,288.0000,288.0000,213.1782,211.9884,211.0422,210.3281,209.8316,209.5396,209.4433
208.5257,201.9839,196.8485,193.9044,195.2647,288.0000,288.0000,288.0000,213.4867,212.2970,211.3422,210.6154,210.1065,209.8058,209.7063
208.0414,202.0297,196.9574,194.1154,195.5951,288.0000,288.0000,288.0000,213.5886,212.3990,211.4418,210.7112,210.1985,209.8950,209.7946
