omega,torque
1108.635097493036, 258.8502164979727
1484.6796657381612, 283.5654596100278
1637.8830083565458, 299.88692462561016
1832.869080779944, 319.6695992719049
2006.9637883008354, 333.0186988058137
2557.1030640668523, 359.69690283791607
3023.6768802228407, 379.45268760859375
3545.9610027855147, 397.71780799249836
3991.6434540389973, 397.17863151217625
4311.977715877437, 395.166717228826
4493.036211699164, 394.6537411401307
4987.465181058495, 393.6146887669268
5495.821727019498, 397.02970297029697
5997.2144846796655, 397.4751096279544
6463.788300835654, 394.9536666758598
6999.999999999999, 390.9401803690118
7466.57381615599, 380.0028958327587
7863.50974930362, 369.0725061364074
8183.844011142058, 359.6348492787996
8399.721448467966, 350.20753468104465
