305.3891,304.6829,303.9674,303.2415,302.5045,301.7583,301.0120,300.2863,299.6113,299.0098,298.4955,298.0757,297.7552,297.5353,297.4089,297.3680
305.3922,304.6861,303.9709,303.2452,302.5076,301.7588,301.0067,300.2726,299.5911,298.9859,298.4694,298.0482,297.7274,297.5094,297.3854,297.3454
305.4012,304.6956,303.9815,303.2568,302.5181,301.7624,300.9924,300.2304,299.5289,298.9130,298.3907,297.9654,297.6427,297.4317,297.3156,297.2788
305.4158,304.7110,303.9992,303.2773,302.5393,301.7751,300.9745,300.1552,299.4198,298.7884,298.2585,297.8258,297.4960,297.3016,297.2023,297.1718
305.4350,304.7315,304.0237,303.3080,302.5763,301.8094,300.9683,300.0338,299.2530,298.6079,298.0725,297.6293,297.2743,297.1190,297.0511,297.0315
305.4572,304.7556,304.0537,303.3489,302.6341,301.8866,301.0157,299.8269,299.0110,298.3665,297.8355,297.3842,296.9410,296.8883,296.8736,296.8702
305.4804,304.7810,304.0864,303.3965,302.7113,302.0344,301.4005,288.0000,288.0000,288.0000,288.0000,288.0000,296.4979,296.6370,296.6908,296.7059
305.5021,304.8049,304.1177,303.4426,302.7851,302.1589,301.6021,288.0000,288.0000,288.0000,288.0000,288.0000,296.2345,296.4347,296.5307,296.5595
305.5197,304.8244,304.1432,303.4799,302.8423,302.2454,301.7154,288.0000,288.0000,288.0000,288.0000,288.0000,296.0718,296.2918,296.4095,296.4463
305.5312,304.8371,304.1598,303.5038,302.8777,302.2954,301.7749,288.0000,288.0000,288.0000,288.0000,288.0000,295.9811,296.2073,296.3347,296.3755
305.5351,304.8415,304.1655,303.5120,302.8897,302.3117,301.7936,288.0000,288.0000,288.0000,288.0000,288.0000,295.9518,296.1794,296.3094,296.3514
